"","y2_hhid","reg","dis","ward","id","con","ccm_prez05","split_prez05"
"211","0205010001026101","ARUSHA","NGORONGORO","NGORONGORO",31,"NGORONGORO",NA,NA
"212","0205010001029301","ARUSHA","NGORONGORO","NGORONGORO",31,"NGORONGORO",NA,NA
"213","0205010001030701","ARUSHA","NGORONGORO","NGORONGORO",31,"NGORONGORO",NA,NA
"214","0205010001030704","ARUSHA","NGORONGORO","NGORONGORO",31,"NGORONGORO",NA,NA
"215","0301006003002801","KILIMANJARO","ROMBO","KELAMFUA MOKALA",249,"ROMBO",1,57.8
"216","0301006003004401","KILIMANJARO","ROMBO","KELAMFUA MOKALA",249,"ROMBO",1,57.8
"217","0301006003011201","KILIMANJARO","ROMBO","KELAMFUA MOKALA",249,"ROMBO",1,57.8
"218","0301006003011501","KILIMANJARO","ROMBO","KELAMFUA MOKALA",249,"ROMBO",1,57.8
"219","0301006003017501","KILIMANJARO","ROMBO","KELAMFUA MOKALA",249,"ROMBO",1,57.8
"220","0301006003019301","KILIMANJARO","ROMBO","KELAMFUA MOKALA",249,"ROMBO",1,57.8
"221","0301006003031701","KILIMANJARO","ROMBO","KELAMFUA MOKALA",249,"ROMBO",1,57.8
"222","0301006003041901","KILIMANJARO","ROMBO","KELAMFUA MOKALA",249,"ROMBO",1,57.8
"223","0301012002009701","KILIMANJARO","ROMBO","OLELE",250,"ROMBO",1,57.8
"224","0301012002022501","KILIMANJARO","ROMBO","OLELE",250,"ROMBO",1,57.8
"225","0301012002036801","KILIMANJARO","ROMBO","OLELE",250,"ROMBO",1,57.8
"226","0301012002040401","KILIMANJARO","ROMBO","OLELE",250,"ROMBO",1,57.8
"227","0301012002040403","KILIMANJARO","ROMBO","OLELE",250,"ROMBO",1,57.8
"228","0301012002067601","KILIMANJARO","ROMBO","OLELE",250,"ROMBO",1,57.8
"229","0301012002070901","KILIMANJARO","ROMBO","OLELE",250,"ROMBO",1,57.8
"230","0301012002079401","KILIMANJARO","ROMBO","OLELE",250,"ROMBO",1,57.8
"231","0301012002087001","KILIMANJARO","ROMBO","OLELE",250,"ROMBO",1,57.8
"232","0301014002014801","KILIMANJARO","ROMBO","KIRONGO SAMANGA",251,"ROMBO",1,57.8
"233","0301014002026301","KILIMANJARO","ROMBO","KIRONGO SAMANGA",251,"ROMBO",1,57.8
"234","0301014002029701","KILIMANJARO","ROMBO","KIRONGO SAMANGA",251,"ROMBO",1,57.8
"235","0301014002033601","KILIMANJARO","ROMBO","KIRONGO SAMANGA",251,"ROMBO",1,57.8
"236","0301014002051101","KILIMANJARO","ROMBO","KIRONGO SAMANGA",251,"ROMBO",1,57.8
"237","0301014002055801","KILIMANJARO","ROMBO","KIRONGO SAMANGA",251,"ROMBO",1,57.8
"238","0301014002065602","KILIMANJARO","ROMBO","KIRONGO SAMANGA",251,"ROMBO",1,57.8
"239","0301014002078501","KILIMANJARO","ROMBO","KIRONGO SAMANGA",251,"ROMBO",1,57.8
"240","0302004003002801","KILIMANJARO","MWANGA","MSANGENI",242,"MWANGA",1,81.2
"241","0302004003014601","KILIMANJARO","MWANGA","MSANGENI",242,"MWANGA",1,81.2
"242","0302004003031501","KILIMANJARO","MWANGA","MSANGENI",242,"MWANGA",1,81.2
"243","0302004003032401","KILIMANJARO","MWANGA","MSANGENI",242,"MWANGA",1,81.2
"244","0302004003033301","KILIMANJARO","MWANGA","MSANGENI",242,"MWANGA",1,81.2
"245","0302004003035601","KILIMANJARO","MWANGA","MSANGENI",242,"MWANGA",1,81.2
"246","0302004003035602","KILIMANJARO","MWANGA","MSANGENI",242,"MWANGA",1,81.2
"247","0302004003037801","KILIMANJARO","MWANGA","MSANGENI",242,"MWANGA",1,81.2
"248","0302004003039301","KILIMANJARO","MWANGA","MSANGENI",242,"MWANGA",1,81.2
"249","0302004003039303","KILIMANJARO","MWANGA","MSANGENI",242,"MWANGA",1,81.2
"250","0302007301000801","KILIMANJARO","MWANGA","KWAKOA",243,"MWANGA",1,81.2
"251","0302007301001901","KILIMANJARO","MWANGA","KWAKOA",243,"MWANGA",1,81.2
"252","0302007301001902","KILIMANJARO","MWANGA","KWAKOA",243,"MWANGA",1,81.2
"253","0302007301003401","KILIMANJARO","MWANGA","KWAKOA",243,"MWANGA",1,81.2
"254","0302007301004201","KILIMANJARO","MWANGA","KWAKOA",243,"MWANGA",1,81.2
"255","0302007301006401","KILIMANJARO","MWANGA","KWAKOA",243,"MWANGA",1,81.2
"256","0302007301007601","KILIMANJARO","MWANGA","KWAKOA",243,"MWANGA",1,81.2
"257","0302007301008002","KILIMANJARO","MWANGA","KWAKOA",243,"MWANGA",1,81.2
"258","0302007301008601","KILIMANJARO","MWANGA","KWAKOA",243,"MWANGA",1,81.2
"259","0303014001001801","KILIMANJARO","SAME","NDUNGU",254,"SAME MASHARIKI",1,76.2
"260","0303014001004601","KILIMANJARO","SAME","NDUNGU",254,"SAME MASHARIKI",1,76.2
"261","0303014001018701","KILIMANJARO","SAME","NDUNGU",254,"SAME MASHARIKI",1,76.2
"262","0303014001024001","KILIMANJARO","SAME","NDUNGU",254,"SAME MASHARIKI",1,76.2
"263","0303014001027801","KILIMANJARO","SAME","NDUNGU",254,"SAME MASHARIKI",1,76.2
"264","0303014001031601","KILIMANJARO","SAME","NDUNGU",254,"SAME MASHARIKI",1,76.2
"265","0303014001031901","KILIMANJARO","SAME","NDUNGU",254,"SAME MASHARIKI",1,76.2
"266","0303014001031902","KILIMANJARO","SAME","NDUNGU",254,"SAME MASHARIKI",1,76.2
"267","0303014001035901","KILIMANJARO","SAME","NDUNGU",254,"SAME MASHARIKI",1,76.2
"268","0303023303001401","KILIMANJARO","SAME","MAKANYA",255,"SAME MAGHARIBI",1,84.5
"269","0303023303002201","KILIMANJARO","SAME","MAKANYA",255,"SAME MAGHARIBI",1,84.5
"270","0303023303003801","KILIMANJARO","SAME","MAKANYA",255,"SAME MAGHARIBI",1,84.5
"271","0303023303003806","KILIMANJARO","SAME","MAKANYA",255,"SAME MAGHARIBI",1,84.5
"272","0303023303003807","KILIMANJARO","SAME","MAKANYA",255,"SAME MAGHARIBI",1,84.5
"273","0303023303004801","KILIMANJARO","SAME","MAKANYA",255,"SAME MAGHARIBI",1,84.5
"274","0303023303005201","KILIMANJARO","SAME","MAKANYA",255,"SAME MAGHARIBI",1,84.5
"275","0303023303005501","KILIMANJARO","SAME","MAKANYA",255,"SAME MAGHARIBI",1,84.5
"276","0303023303006401","KILIMANJARO","SAME","MAKANYA",255,"SAME MAGHARIBI",1,84.5
"277","0304002001004401","KILIMANJARO","MOSHI RURAL","MWIKA KUSINI",233,"VUNJO",1,38.7
"278","0304002001011501","KILIMANJARO","MOSHI RURAL","MWIKA KUSINI",233,"VUNJO",1,38.7
"279","0304002001017501","KILIMANJARO","MOSHI RURAL","MWIKA KUSINI",233,"VUNJO",1,38.7
